,unique_id,Answer,AverageExpertise_x,AverageExpertise_y,AvergeConfidence,CodeQuestion,Confidence,DelID,GuruID,ID,IRTExpertise,Normalized_IRT,Normalized_IRT_1,ProbaDel,Unnamed: 0,Unnamed: 0.1,Weight,CodeExclu,ExpNum,Proba,country,gender,gender_,unique_id_q
96,E13_21,0.5,0.5,0.5,,,,23.545454545454547,15.333333333333334,21.0,0.05670982642472464,0.5995782447629692,1.9915648952593834,0.9166666666666666,2396.0,23.0,0.16666666666666666,,E13,,france,female,,
97,E13_22,0.5729166666666666,0.5729166666666666,0.5729166666666666,,,,29.0,23.166666666666668,22.0,0.24221711401445223,0.6496212580945376,2.9924251618907527,0.5,2397.0,24.0,1.4166666666666667,,E13,,macedonia,male,,
98,E13_23,0.6041666666666666,0.6041666666666666,0.6041666666666666,,,,24.375,26.5,23.0,0.35656882397252804,0.6804691251528694,3.6093825030573883,0.6666666666666666,2398.0,25.0,0.3333333333333333,,E13,,france,female,,
99,E13_24,0.5208333333333334,0.5208333333333334,0.5208333333333334,,,,10.571428571428571,19.25,24.0,0.06784837131826658,0.6025830127041326,2.051660254082652,0.5833333333333334,2399.0,26.0,0.4166666666666667,,E13,,,male,,
100,E13_25,0.53125,0.53125,0.53125,,,,16.2,24.0,25.0,0.11271474090782545,0.6146863018022678,2.2937260360453546,0.4166666666666667,2400.0,27.0,0.8333333333333334,,E13,,france,male,,
101,E13_26,0.6145833333333334,0.6145833333333334,0.6145833333333334,,,,11.0,23.166666666666668,26.0,0.3094971149401913,0.6677709169409384,3.355418338818767,0.25,2401.0,28.0,2.5833333333333335,,E13,,france,male,,
102,E13_27,0.53125,0.53125,0.53125,,,,14.666666666666666,23.916666666666668,27.0,0.12343996053181999,0.617579569854435,2.3515913970886992,0.25,2402.0,29.0,1.3333333333333333,,E13,,france,male,,
103,E13_28,0.5104166666666666,0.5104166666666666,0.5104166666666666,,,,25.2,25.5,28.0,0.1550159707933815,0.6260976109675787,2.5219522193515727,0.4166666666666667,2403.0,30.0,0.6666666666666666,,E13,,france,male,,
104,E13_29,0.7083333333333334,0.7083333333333334,0.7083333333333334,,,,19.4,22.833333333333332,29.0,0.6338945820522025,0.7552813699389712,5.105627398779425,0.4166666666666667,2404.0,31.0,2.9166666666666665,,E13,,france,male,,
105,E13_3,0.625,0.625,0.625,,,,19.4,7.166666666666667,3.0,0.31681229542244727,0.6697442824035718,3.3948856480714347,0.4166666666666667,2378.0,5.0,1.1666666666666667,,E13,,france,male,,
106,E13_30,0.6979166666666666,0.6979166666666666,0.6979166666666666,,,,26.166666666666668,28.083333333333332,30.0,0.6125843485023458,0.7495326561526273,4.990653123052548,0.5,2405.0,32.0,0.75,,E13,,france,male,,
107,E13_31,0.6041666666666666,0.6041666666666666,0.6041666666666666,,,,19.285714285714285,26.333333333333332,31.0,0.24378919975948918,0.6500453487538288,3.000906975076577,0.5833333333333334,2406.0,33.0,0.5,,E13,,algeria,male,,
108,E13_32,0.5520833333333334,0.5520833333333334,0.5520833333333334,,,,14.833333333333334,26.083333333333332,32.0,0.2890268950053261,0.6622488077968158,3.244976155936317,0.5,2407.0,34.0,0.5833333333333334,,E13,,france,male,,
109,E13_33,0.59375,0.59375,0.59375,,,,16.0,21.333333333333332,33.0,0.2958873340753148,0.6640995008251088,3.2819900165021774,0.8333333333333334,2408.0,35.0,0.25,,E13,,france,male,,
110,E13_34,0.6041666666666666,0.6041666666666666,0.6041666666666666,,,,18.0,23.333333333333332,34.0,0.36282577054013604,0.6821570181977519,3.643140363955039,0.6666666666666666,2409.0,36.0,0.4166666666666667,,E13,,france,female,,
111,E13_35,0.5625,0.5625,0.5625,,,,26.0,27.0,35.0,0.1706073180515881,0.630303580494906,2.60607160989812,0.5833333333333334,2410.0,37.0,1.0833333333333333,,E13,,france,male,,
112,E13_36,0.5625,0.5625,0.5625,,,,21.0,31.0,36.0,0.23284172272640766,0.6470921238631434,2.941842477262867,0.3333333333333333,2411.0,38.0,2.5,,E13,,serbia,male,,
113,E13_37,0.5416666666666666,0.5416666666666666,0.5416666666666666,,,,39.5,36.083333333333336,37.0,0.02255420925903927,0.5903643210008442,1.8072864200168846,0.3333333333333333,2412.0,39.0,1.3333333333333333,,E13,,lebanon,female,,
114,E13_38,0.5729166666666666,0.5729166666666666,0.5729166666666666,,,,14.125,22.916666666666668,38.0,0.16239072658767936,0.6280870476486179,2.5617409529723587,0.6666666666666666,2413.0,40.0,0.3333333333333333,,E13,,france,male,,
