,ExpNum,ID,CodeExclu,Answer,AverageExpertise_x,AvergeConfidence,Confidence,DelID,GuruID,ProbaDel,Unnamed: 0,Unnamed: 0.1,Weight,CodeQuestion,Proba,country,gender,gender_,unique_id,unique_id_q,AverageExpertise_y,IRTExpertise,Normalized_IRT,Normalized_IRT_1
77,E11,0,PC,0.875,0.875,,,,0.0,0.0,526.5,2.0,1.0,,,france ,male,,E11_0,E11_0_PC,0.875,0.8476351231434875,0.8129406720952501,6.258813441905001
78,E11,0,PE9,0.625,0.625,,,,0.0,0.0,742.5,2.0,7.0,,,france ,male,,E11_0,E11_0_PE9,0.625,0.44802689913537136,0.7051411352615827,4.102822705231654
80,E11,0,T,0.625,0.625,,,16.0,16.0,1.0,310.5,2.0,0.0,,,france ,male,,E11_0,E11_0_T,0.625,0.3089048321894075,0.667611140934407,3.352222818688139
81,E11,1,K,0.75,0.75,,,,1.0,0.0,95.5,3.0,1.0,,,france,male,,E11_1,E11_1_K,0.75,0.7429983791815815,0.7847135439802705,5.69427087960541
82,E11,1,PC,0.5,0.5,,,3.0,3.0,1.0,527.5,3.0,0.0,,,france,male,,E11_1,E11_1_PC,0.5,0.07599637411668433,0.604781042862218,2.0956208572443593
83,E11,1,PE9,0.25,0.25,,,0.0,0.0,1.0,743.5,3.0,0.0,,,france,male,,E11_1,E11_1_PE9,0.25,-0.7804405377658072,0.3737460018358505,-2.52507996328299
85,E11,1,T,0.625,0.625,,,,1.0,0.0,311.5,3.0,1.0,,,france,male,,E11_1,E11_1_T,0.625,0.06295155539070398,0.6012620326610885,2.0252406532217684
86,E11,2,K,0.75,0.75,,,,2.0,0.0,96.5,4.0,1.0,,,france,male,,E11_2,E11_2_K,0.75,0.7958335188673729,0.7989665128745113,5.979330257490226
87,E11,2,PC,0.625,0.625,,,23.0,23.0,1.0,528.5,4.0,0.0,,,france,male,,E11_2,E11_2_PC,0.625,0.3125155893524289,0.6685851898313202,3.371703796626404
88,E11,2,PE9,0.75,0.75,,,0.0,0.0,1.0,744.5,4.0,0.0,,,france,male,,E11_2,E11_2_PE9,0.75,0.4312940561918867,0.7006272323665774,4.012544647331547
